Subject Name,Scientific Name,Num. of Counties,Habit
Italian woodbine,Lonicera caprifolium L.,5,Vines
Etruscan honeysuckle,Lonicera etrusca Santi,9,Vines
sweet breath of spring,Lonicera fragrantissima Lindl. & Paxton,104,Shrub or Subshrub
Japanese honeysuckle,Lonicera japonica Thunb.,1820,Vines
Amur honeysuckle,Lonicera maackii (Rupr.) Herder,791,Shrub or Subshrub
Morrow's honeysuckle,Lonicera morrowii Gray,686,Shrub or Subshrub
woodbine,Lonicera periclymenum L.,11,Vines
Standish's honeysuckle,Lonicera standishii Jacques,21,Shrub or Subshrub
Tatarian honeysuckle,Lonicera tatarica L.,750,Shrub or Subshrub
"showy fly honeysuckle, Bell's honeysuckle",Lonicera x bella Zabel [morrowii × tatarica],453,Shrub or Subshrub
dwarf honeysuckle,Lonicera xylosteum L.,134,Shrub or Subshrub
vinegartree,Lophostemon confertus (R. Br.) P.G. Wilson & Waterhouse,4,Hardwood Trees
birdsfoot trefoil,Lotus corniculatus L.,1049,Forbs/Herbs
big trefoil,Lotus pedunculatus Cav.,9,Forbs/Herbs
hairy bird's-foot trefoil,Lotus subbiflorus Lag.,2,Forbs/Herbs
water primrose,Ludwigia grandiflora ssp. hexapetala (Hook. & Arn.) Nesom & Kartesz,80,Forbs/Herbs
longfruited primrose-willow,Ludwigia octovalvis (Jacq.) Raven,148,Shrub or Subshrub
waterpurslane,Ludwigia palustris (L.) Ell.,1474,Forbs/Herbs
creeping waterprimrose,Ludwigia peploides (Kunth) Raven,603,Aquatic Plants
floating primrose-willow,Ludwigia peploides ssp. glabrescens (Kuntze) P.H. Raven,10,Forbs/Herbs
primrose-willow,Ludwigia peruviana (L.) Hara,71,Forbs/Herbs
black mangrove,Lumnitzera racemosa Willd.,1,Shrub or Subshrub
annual honesty,Lunaria annua L.,289,Forbs/Herbs
watergrass,Luziola subintegra Swallen,6,Grass or Grasslike
oakforest woodrush,Luzula luzuloides (Lam.) Dandy & Wilmott,17,Grass or Grasslike
Japanese climbing fern,Lygodium japonicum (Thunb. ex Murr.) Sw.,480,Vines
old world climbing fern,Lygodium microphyllum (Cav.) R. Br.,45,Vines
"creeping yellow loosestrife, creeping Jenny",Lysimachia nummularia L.,1028,Forbs/Herbs
garden loosestrife,Lysimachia vulgaris L.,171,Forbs/Herbs
hyssop loosestrife,Lythrum hyssopifolia L.,92,Forbs/Herbs
creeping loosestrife,Lythrum junceum Banks & Sol.,0,Forbs/Herbs
purple loosestrife,Lythrum salicaria L.,1298,Aquatic Plants
European wand loosestrife,Lythrum virgatum L.,6,Forbs/Herbs
catclaw-vine,Macfadyena unguis-cati (L.) A.H. Gentry,52,Vines
osage-orange,Maclura pomifera (Raf.) Schneid.,1042,Hardwood Trees
wild bushbean,Macroptilium lathyroides (L.) Urb.,55,Forbs/Herbs
swordfern,Macrothelypteris torresiana (Gaud.) Ching,203,Forbs/Herbs
cluster tarweed,Madia glomerata Hook.,193,Forbs/Herbs
coast tarweed,Madia sativa Molina,90,Forbs/Herbs
leatherleaf mahonia,Mahonia bealei (Fortune) Carr.,229,Shrub or Subshrub
coppery mesemb,Malephora crocea (Jacq.) Schwant.,8,Forbs/Herbs
Siberian crabapple,Malus baccata (L.) Borkh.,71,Hardwood Trees
Japanese flowering crabapple,Malus floribunda Sieb. Ex Van Houtte,20,Hardwood Trees
Chinese crab apple,Malus hupehensis (Pamp.) Rehder,3,Hardwood Trees
crabapple and apple,Malus P. Mill.,5,Hardwood Trees
plumleaf crabapple,Malus prunifolia (Willd.) Borkh.,36,Hardwood Trees
paradise apple,Malus pumila P. Mill.,719,Hardwood Trees
European crabapple,Malus sylvestris P. Mill.,5,Hardwood Trees
toringo crab,Malus toringo (Siebold) Siebold ex de Vriese,15,Shrub or Subshrub
musk mallow,Malva moschata L.,300,Forbs/Herbs
common mallow,Malva neglecta Wallr.,1206,Forbs/Herbs
little mallow,Malva parviflora L.,201,Forbs/Herbs
high mallow,Malva sylvestris L.,25,Forbs/Herbs
cluster mallow,Malva verticillata L.,0,Forbs/Herbs
threelobe false mallow,Malvastrum coromandelianum (L.) Garcke,85,Forbs/Herbs
mazapan,Malvaviscus penduliflorus DC.,35,Shrub or Subshrub
mango,Mangifera indica L.,19,Hardwood Trees
cassava,Manihot esculenta Crantz,7,Shrub or Subshrub
ceara rubbertree,Manihot glaziovii Muell.-Arg.,4,Hardwood Trees
sapodilla,Manilkara zapota (L.) van Royen,8,Hardwood Trees
white horehound,Marrubium vulgare L.,777,Shrub or Subshrub
waterclover,Marsilea,0,
dwarf waterclover,Marsilea minuta L.,10,Forbs/Herbs
European water-clover,Marsilea quadrifolia L.,168,Aquatic Plants
pineapple-weed,Matricaria discoidea DC.,1189,Forbs/Herbs
mayten,Maytenus boaria Molina,11,Shrub or Subshrub
black medic,Medicago lupulina L.,2055,Forbs/Herbs
California burclover,Medicago polymorpha L.,344,Vines
guineagrass,Megathyrsus maximus (Jacq.) R. Webster,97,Grass or Grasslike
melaleuca,Melaleuca quinquenervia (Cav.) Blake,38,Hardwood Trees
Asian melastome,Melastoma candidum D. Don,3,Hardwood Trees
chinaberry,Melia azedarach L.,920,Hardwood Trees
white sweetclover,Melilotus albus Medikus,683,Forbs/Herbs
annual yellow sweetclover,Melilotus indicus (L.) All.,354,Forbs/Herbs
yellow sweet-clover,Melilotus officinalis (L.) Lam.,2482,Forbs/Herbs
molassesgrass,Melinis minutiflora Beauv.,59,Grass or Grasslike
natalgrass,Melinis repens (Willd.) Zizka,99,Grass or Grasslike
lemon balm,Melissa officinalis L.,253,Forbs/Herbs
hierba del soldado,Melochia umbellata (Houtt.) Stapf,4,Hardwood Trees
water mint,Mentha aquatica L.,276,Forbs/Herbs
pennyroyal,Mentha pulegium L.,104,Forbs/Herbs
spearmint,Mentha spicata L.,778,Forbs/Herbs
gingermint,Mentha x gracilis Sole (pro sp.) [arvensis × spicata],118,Forbs/Herbs
peppermint,Mentha x piperita L. (pro sp.),753,Forbs/Herbs
bigleaf mint,Mentha X rotundifolia (L.) Huds. (pro. sp.),1,Forbs/Herbs
mint,Mentha X verticillata L.,3,Forbs/Herbs
apple-mint,Mentha x villosa Huds. (pro sp.) [spicata × suaveolens],95,Forbs/Herbs
Spanish arborvine,Merremia tuberosa (L.) Rendle,10,Vines
crystalline iceplant,Mesembryanthemum crystallinum L.,21,Forbs/Herbs
slenderleaf iceplant,Mesembryanthemum nodiflorum L.,22,Forbs/Herbs
miconia,Miconia calvescens DC.,4,Shrub or Subshrub
weeping grass,Microlaena stipoides Labill.,4,Grass or Grasslike
Japanese stiltgrass,Microstegium vimineum (Trin.) A. Camus,1159,Grass or Grasslike
thoroughwort pennycress,Microthlaspi perfoliatum (L.) F.K. Mey.,293,Forbs/Herbs
mile-a-minute,Mikania micrantha Kunth,14,Vines
giant sensitiveplant,Mimosa diplotricha C. Wright ex Sauvalle,2,Shrub or Subshrub
catclaw mimosa,Mimosa pigra L.,13,Shrub or Subshrub
shameplant,Mimosa pudica var. unijuga (Duchass. & Walp.) Griseb.,6,Forbs/Herbs
common four-o'clock,Mirabilis jalapa L.,231,Forbs/Herbs
wild four-o'clock,Mirabilis nyctaginea (Michx.) MacM.,1128,Forbs/Herbs
creeping miscanthus,Miscanthus sacchariflorus (Maxim.) Franch.,114,Grass or Grasslike
bristle miscanthus,Miscanthus sinensis Anderss.,438,Grass or Grasslike
balsamapple,Momordica charantia L.,53,Vines
treedaisy,Montanoa hibiscifolia (Benth.) Standl.,4,Hardwood Trees
firetree,Morella faya (Ait.) Wilbur,4,Hardwood Trees
white mulberry,Morus alba L.,1460,Hardwood Trees
miniature beefsteakplant,Mosla dianthera (Buch.-Ham. ex Roxb.) Maxim.,40,Forbs/Herbs
marsh dayflower,Murdannia keisak (Hassk.) Hand.-Maz.,299,Forbs/Herbs
orange jessamine,Murraya paniculata (L.) Jack,51,Hardwood Trees
common grape hyacinth,Muscari botryoides (L.) P. Mill.,326,Forbs/Herbs
starch grape hyacinth,Muscari neglectum Guss. ex Ten.,296,Forbs/Herbs
ngaio tree,Myoporum laetum G. Forst.,17,Hardwood Trees
changing forget-me-not,Myosotis discolor Pers.,25,Forbs/Herbs
broadleaf forget-me-not,Myosotis latifolia Poir.,19,Forbs/Herbs
true forget-me-not,Myosotis scorpioides L.,578,Forbs/Herbs
woodland forget-me-not,Myosotis sylvatica Ehrh. ex Hoffmann,151,Forbs/Herbs
giant chickweed,Myosoton aquaticum (L.) Moench,331,Aquatic Plants
watermilfoil,Myriophyllum,16,Aquatic Plants
parrotfeather,Myriophyllum aquaticum (Vell.) Verdc.,671,Aquatic Plants
twoleaf watermilfoil,Myriophyllum heterophyllum Michx.,366,Aquatic Plants
Eurasian watermilfoil,Myriophyllum spicatum L.,978,Aquatic Plants
brittleleaf naiad,Najas minor All.,442,Aquatic Plants
sacred bamboo,Nandina domestica Thunb.,864,Shrub or Subshrub
matgrass,Nardus stricta L.,23,Grass or Grasslike
tropical needlegrass,Nassella manicata (Desv.) Barkworth,3,Grass or Grasslike
finestem needlegrass,Nassella tenuissima (Trin.) Barkworth,14,Grass or Grasslike
serrated tussock,Nassella trichotoma Hackel ex Arech.,0,Grass or Grasslike
onerow yellowcress,Nasturtium microphyllum Boenn. ex Rchb.,62,Forbs/Herbs
watercress,Nasturtium officinale R. Brown,1276,Aquatic Plants
American lotus,Nelumbo lutea Willd.,7,Aquatic Plants
perennial soybean,Neonotonia wightii (Wight & Arn.),4,Vines
catnip,Nepeta cataria L.,1366,Forbs/Herbs
Asian swordfern,Nephrolepis brownii (Desv.) Hovenkamp & Miyam.,30,Forbs/Herbs
narrow swordfern,Nephrolepis cordifolia (L.) C. Presl,52,Forbs/Herbs
fishtail swordfern,Nephrolepis falcata (Cav.) C. Christens.,13,Forbs/Herbs
oleander,Nerium oleander L.,150,Hardwood Trees
burmareed,Neyraudia reynaudiana (Kunth) Keng ex A.S. Hitchc.,15,Grass or Grasslike
apple-of-Peru,Nicandra physalodes (L.) Gaertn.,298,Forbs/Herbs
tree tobacco,Nicotiana glauca Graham,94,Hardwood Trees
Madagascar olive,Noronhia emarginata (Lam.) Hook,3,Shrub or Subshrub
slender false garlic,Nothoscordum gracile (Aiton) Stearn,10,Forbs/Herbs
fragrant waterlily,Nymphaea odorata Ait.,901,Aquatic Plants
crested floating heart,Nymphoides cristata (Roxb.) O. Ktze.,22,Aquatic Plants
yellow floating heart,Nymphoides peltata (S.G. Gmel.) Kuntze,104,Aquatic Plants
Java waterdropwort,Oenanthe javanica (Blume) DC.,17,Forbs/Herbs
redsepal evening-primrose,Oenothera glazioviana Micheli,76,Forbs/Herbs
cutleaf evening-primrose,Oenothera laciniata Hill,1381,Forbs/Herbs
olive,Olea europaea L.,32,Hardwood Trees
African olive,Olea europaea ssp. cuspidata (Wall. ex G. Don) Ciferri,4,Hardwood Trees
stinknet,Oncosiphon piluliferum (L. f.) Källersjö,18,Forbs/Herbs
foxtail restharrow,Ononis alopecuroides L.,1,Forbs/Herbs
Scotch thistle,Onopordum acanthium L.,435,Forbs/Herbs
Illyrian cottonthistle,Onopordum illyricum L.,3,Forbs/Herbs
bristle basketgrass,Oplismenus hirtellus (L.) Beauv.,11,Grass or Grasslike
wavyleaf basketgrass,Oplismenus undulatifolius (Ard.) Roem. & Schult.,89,Grass or Grasslike
tuna cactus,Opuntia ficus-indica (L.) P. Mill.,30,Cactus
nodding star-of-Bethlehem,Ornithogalum nutans L.,55,Forbs/Herbs
star-of-Bethlehem,Ornithogalum umbellatum L.,833,Forbs/Herbs
small broomrape,Orobanche minor Smith,58,Forbs/Herbs
holly osmanthus,Osmanthus heterophyllus (G. Don) P.S. Green,6,Shrub or Subshrub
stinking roger,Osteospermum calendulaceum L. f.,0,Forbs/Herbs
pink woodsorrel,Oxalis debilis var. corymbosa (DC.) Lourteig,85,Forbs/Herbs
buttercup oxalis,Oxalis pes-caprae L.,35,Forbs/Herbs
yellow woodsorrel,Oxalis stricta L.,1912,Forbs/Herbs
Cuban bulrush,Oxycaryum cubense (Poepp. & Kunth) Lye,52,Grass or Grasslike
bristletips,Oxyspora paniculata (D. Don) DC.,1,Shrub or Subshrub
Japanese pachysandra,Pachysandra terminalis Sieb. & Zucc.,88,Shrub or Subshrub
sewer vine,Paederia cruddasiana Prain,4,Vines
skunk-vine,Paederia foetida L.,45,Vines
blue panicum,Panicum antidotale Retz.,69,Grass or Grasslike
witchgrass,Panicum capillare L.,12,Grass or Grasslike
torpedograss,Panicum repens L.,151,Aquatic Plants
field poppy,Papaver dubium L.,6,Forbs/Herbs
plume albizia,Paraserianthes lophantha (Willd.) I. Nielsen,15,Hardwood Trees
yellow glandweed,Parentucellia viscosa (L.) Caruel,67,Forbs/Herbs
ragweed parthenium,Parthenium hysterophorus L.,195,Forbs/Herbs
Boston ivy,Parthenocissus tricuspidata (Sieb. & Zucc.) Planch.,82,Vines
sour paspalum,Paspalum conjugatum Berg.,70,Grass or Grasslike
dallisgrass,Paspalum dilatatum Poir.,784,Grass or Grasslike
Panama crowngrass,Paspalum fimbriatum Kunth,8,Grass or Grasslike
bahiagrass,Paspalum notatum Fluegge,437,Grass or Grasslike
tussock paspalum,Paspalum quadrifarium Lam.,6,Grass or Grasslike
ricegrass paspalum,Paspalum scrobiculatum Linnaeus,11,Grass or Grasslike
vaseygrass,Paspalum urvillei Steud.,500,Grass or Grasslike
seashore paspalum,Paspalum vaginatum Sw.,4,Grass or Grasslike
wingleaf passionflower,Passiflora bicornis P. Mill.,2,Vines
twoflower passionflower,Passiflora biflora Lam.,3,Vines
passionflower,Passiflora edulis Sims,36,Vines
redfruit passionflower,Passiflora foetida L.,38,Vines
golden bellapple,Passiflora laurifolia L.,4,Vines
sweet granadilla,Passiflora ligularis Juss.,4,Vines
corkystemmed passionflower,Passiflora suberosa L.,36,Vines
white passionflower,Passiflora subpeltata Ortega,4,Vines
banana poka,Passiflora tarminiana Coppens & V. E. Barney,6,Vines
banana passionflower,Passiflora tripartita var. mollissima (Kunth) Holm-Niesen & P.M. Jørg.,8,Vines
wild parsnip,Pastinaca sativa L.,1248,Forbs/Herbs
princesstree,Paulownia tomentosa (Thunb.) Sieb. & Zucc. ex Steud.,804,Hardwood Trees
spearleaf swampmallow,Pavonia hastata Cav.,6,Shrub or Subshrub
gingerbush,Pavonia spinifex (L.) Cav.,8,Shrub or Subshrub
African rue,Peganum harmala L.,55,Forbs/Herbs
fountaingrass,Pennisetum L.C. Rich. ex Pers,5,Grass or Grasslike
feathertop,Pennisetum villosum R. Br. ex Fresen.,10,Grass or Grasslike
evergreen bugloss,Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey,5,Forbs/Herbs
perilla mint,Perilla frutescens (L.) Britton,749,Forbs/Herbs
avocado,Persea americana P. Mill.,15,Hardwood Trees
pinkhead smartweed,Persicaria capitata (Buch.-Ham. ex D. Don) Gross.,16,Shrub or Subshrub
denseflower knotweed,Persicaria glabra (Willd.) M. Gómez,211,Forbs/Herbs
pale smartweed,Persicaria lapathifolia (L.) S.F. Gray,1796,Forbs/Herbs
Oriental lady's thumb,Persicaria longiseta (Bruijn) Kitagawa,701,Forbs/Herbs
ladysthumb,Persicaria maculosa S.F. Gray,1776,Forbs/Herbs
princess-feather,Persicaria orientalis (L.) Spach,333,Forbs/Herbs
"mile-a-minute vine, Asiatic tearthumb",Persicaria perfoliata (L.) H. Gross,317,Vines
dotted smartweed,Persicaria punctata (Ell.) Small,1830,Forbs/Herbs
cultivated knotweed,Persicaria wallichii Greuter & Burdet,38,Forbs/Herbs
hairypink,Petrorhagia dubia (Raf.) G. López & Romo,67,Forbs/Herbs
parsley,Petroselinum crispum (P. Mill.) Nyman ex A.W. Hill,59,Forbs/Herbs
bulbous canarygrass,Phalaris aquatica L.,64,Grass or Grasslike
reed canarygrass,Phalaris arundinacea L.,1562,Aquatic Plants
canarygrass,Phalaris canariensis L.,389,Grass or Grasslike
littleseed canarygrass,Phalaris minor Retz.,66,Grass or Grasslike
Egyptian broomrape,Phelipanche aegyptiaca (Pers.) Pomel,0,Forbs/Herbs
Amur corktree,Phellodendron amurense Rupr.,107,Hardwood Trees
Japanese corktree,Phellodendron japonicum Maxim.,13,Hardwood Trees
Lavalle corktree,Phellodendron lavallei Dode,0,Hardwood Trees
mock orange,Philadelphus,2,Shrub or Subshrub
golden polypody,Phlebodium aureum (L.) J. Sm.,55,Forbs/Herbs
timothy,Phleum pratense L.,1752,Grass or Grasslike
Canary Island date palm,Phoenix canariensis hort. ex Chabaud,29,Palms
date palm,Phoenix dactylifera L.,20,Hardwood Trees
Senegal date palm,Phoenix reclinata Jacq.,25,Hardwood Trees
New Zealand flax,Phormium tenax J.R. & G. Forst.,3,Shrub or Subshrub
Oriental photinia,Photinia villosa (Thunb.) DC.,18,Shrub or Subshrub
common reed,Phragmites australis (Cavanilles) Trinius ex Steudel,810,Aquatic Plants
"European common reed, Phragmites",Phragmites australis ssp. australis (Cavanilles) Trinius ex Steudel,1366,Aquatic Plants
chamber bitter,Phyllanthus urinaria L.,220,Forbs/Herbs
golden bamboo,Phyllostachys aurea Carr. ex A.& C. Rivière,390,Grass or Grasslike
yellow groove bamboo,Phyllostachys aureosulcata McClure,41,Grass or Grasslike
black bamboo,Phyllostachys nigra (Lodd.) Munro,13,Grass or Grasslike
bamboo,Phyllostachys Sieb. & Zucc.,63,Grass or Grasslike
monarch fern,Phymatosorus scolopendria (Burm. f.) Copeland,2,Forbs/Herbs
Peruvian groundcherry,Physalis peruviana L.,12,Shrub or Subshrub
Virginia groundcherry,Physalis virginiana var. virginiana Mill.,929,Forbs/Herbs
common pokeweed,Phytolacca americana L.,1807,Forbs/Herbs
Norway spruce,Picea abies (L.) Karst.,181,Conifer Trees
hawkweed oxtongue,Picris hieracioides L.,77,Forbs/Herbs
artilleryweed,Pilea microphylla (L.) Liebm.,56,Forbs/Herbs
orange hawkweed,Pilosella aurantiaca (L.) F. W. Schultz & Sch. Bip.,631,Forbs/Herbs
queen-devil hawkweed,Pilosella glomerata (Froel.) Arv.-Touv.,7,Forbs/Herbs
mouse-eared hawkweed,Pilosella officinarum Vaillant,250,Forbs/Herbs
tall lodgepole pine,Pinus contorta var. latifolia Engelm. ex S. Watson,179,Conifer Trees
Coulter pine,Pinus coulteri D. Don,20,Conifer Trees
Honduras pine,Pinus elliottii var. elliottii Engelm.,234,Conifer Trees
Jeffrey pine,Pinus jeffreyi Grev. & Balf.,51,Conifer Trees
Austrian pine,Pinus nigra Arnold,25,Conifer Trees
maritime pine,"Pinus pinaster Soland., non Ait.",2,Conifer Trees
Italian stone pine,Pinus pinea L.,8,Conifer Trees
ponderosa pine,Pinus ponderosa P.& C. Lawson,338,Conifer Trees
Monterey pine,Pinus radiata D. Don,9,Conifer Trees
eastern white pine,Pinus strobus L.,815,Conifer Trees
Scots pine,Pinus sylvestris L.,294,Conifer Trees
Japanese black pine,Pinus thunbergii Parl.,16,Conifer Trees
smilograss,Piptatherum miliaceum (L.) Coss.,44,Grass or Grasslike
Chinese pistache,Pistacia chinensis Bunge,52,Hardwood Trees
water lettuce,Pistia stratiotes L.,288,Aquatic Plants
monkeypod,Pithecellobium dulce (Roxb.) Benth.,14,Hardwood Trees
Taiwanese cheesewood,Pittosporum pentandrum (Blanco) Merr.,4,Hardwood Trees
Australian cheesewood,Pittosporum undulatum Vent.,16,Hardwood Trees
Dixie silverback fern,Pityrogramma calomelanos (L.) Link,10,Forbs/Herbs
Mexican plantain,Plantago australis Lam.,7,Forbs/Herbs
buckhorn plantain,Plantago lanceolata L.,1975,Forbs/Herbs
broadleaf plantain,Plantago major L.,1358,Forbs/Herbs
elkhorn fern,Platycerium bifurcatum (Cav.) C. Chr.,4,Forbs/Herbs
petite-licorice,Plecostachys serpyllifolia (P.J.Bergius) Hilliard & B.L.Burtt,9,Forbs/Herbs
cure for all,Pluchea carolinensis (Jacq.) G. Don,12,Shrub or Subshrub
Indian camphorweed,Pluchea indica (L.) Less.,4,Shrub or Subshrub
annual bluegrass,Poa annua L.,1660,Grass or Grasslike
bulbous bluegrass,Poa bulbosa L.,449,Grass or Grasslike
Canada bluegrass,Poa compressa L.,1586,Grass or Grasslike
Kentucky bluegrass,Poa pratensis L.,1984,Grass or Grasslike
Kentucky bluegrass,Poa pratensis ssp. pratensis L.,154,Grass or Grasslike
roughstalk bluegrass,Poa trivialis L.,528,Grass or Grasslike
Poa trivialis trivialis L.,0,Grass or Grasslike,
fourleaf manyseed,Polycarpon tetraphyllum (L.) L.,89,Forbs/Herbs
myrtle-leaf milkwort,Polygala myrtifolia L.,0,Shrub or Subshrub
silversheath knotweed,Polygonum argyrocoleon Steud. Ex Kunze,57,Forbs/Herbs
prostrate knotweed,Polygonum aviculare L.,1210,Forbs/Herbs
knotweed,Polygonum L.,11,Forbs/Herbs
Oriental lady's thumb,Polygonum posumbu Buch.-Ham. ex D. Don,454,Forbs/Herbs
rabbitfoot polypogon,Polypogon monspeliensis (L.) Desf.,643,Grass or Grasslike
water-bent,Polypogon viridis (Gouan) Breistr.,145,Grass or Grasslike
common water hyacinth,Pontederia crassipes Martius,703,Aquatic Plants
white poplar,Populus alba L.,1050,Hardwood Trees
balsam poplar,Populus balsamifera L.,684,Hardwood Trees
eastern cottonwood,Populus deltoides Bartr. ex Marsh.,0,Hardwood Trees
bigtooth aspen,Populus grandidentata Michx.,2,Hardwood Trees
Lombardy poplar,Populus nigra L.,231,Hardwood Trees
European aspen,Populus tremula L.,2,Hardwood Trees
quaking aspen,Populus tremuloides Michx.,4,Hardwood Trees
gray poplar,Populus x canescens (Ait.) Sm. (pro sp.) [alba × tremula],91,Hardwood Trees
common purslane,Portulaca oleracea L.,1648,Forbs/Herbs
curly leaf pondweed,Potamogeton crispus L.,911,Aquatic Plants
false strawberry,Potentilla indica (Andr.) Wolf,829,Forbs/Herbs
sulfur cinquefoil,Potentilla recta L.,1580,Forbs/Herbs
canistel,Pouteria campechiana (Kunth) Baehni,2,Hardwood Trees
praxelis,Praxelis clematidea R.M. King & H. Rob.,15,Forbs/Herbs
kiawe,Prosopis pallida (Humb. & Bonpl. ex Willd.) Kunth,4,Hardwood Trees
common selfheal,Prunella vulgaris L.,2128,Forbs/Herbs
sweet cherry,Prunus avium (L.) L.,389,Hardwood Trees
cherry plum,Prunus cerasifera Ehrh.,83,Hardwood Trees
sour cherry,Prunus cerasus L.,178,Hardwood Trees
plum,Prunus domestica L.,101,Hardwood Trees
cherry laurel,Prunus laurocerasus L.,30,Hardwood Trees
Portugal laurel,Prunus lusitanica L.,12,Hardwood Trees
Mahaleb cherry,Prunus mahaleb L.,215,Hardwood Trees
European bird cherry,Prunus padus L.,45,Hardwood Trees
blackthorn,Prunus spinosa L.,29,Hardwood Trees
winter-flowering cherry,Prunus subhirtella Miq.,8,Hardwood Trees
weeping Higan cherry,Prunus subhirtella var. pendula Y. Tanaka,9,Hardwood Trees
dog's-tongue,Pseudelephantopus spicatus (Juss. ex Aubl.) C.F. Baker,17,Forbs/Herbs
Jersey cudweed,Pseudognaphalium luteoalbum (L.) Hilliard & Burtt,83,Forbs/Herbs
arrow bamboo,Pseudosasa japonica (Sieb. & Zucc. ex Steud.) Makino ex Nakai,36,Shrub or Subshrub
Douglas-fir,Pseudotsuga menziesii (Mirbel) Franco,322,Conifer Trees
strawberry guava,Psidium cattleianum Sabine,32,Shrub or Subshrub
guava,Psidium guajava L.,39,Shrub or Subshrub
giant brake,Pteris tripartita Sw.,16,Forbs/Herbs
ladder brake,Pteris vittata L.,72,Forbs/Herbs
ptychosperma,Ptychosperma elegans (R. Br.) Blume,5,Hardwood Trees
kudzu,Pueraria montana (Lour.)Merr.,280,Vines
kudzu,Pueraria montana var. lobata (Willd.) Maesen & S. Almeida,1156,Vines
Spanish false fleabane,Pulicaria paludosa Link,8,Forbs/Herbs
pomegranate,Punica granatum L.,101,Hardwood Trees
narrowleaf firethorn,Pyracantha angustifolia (Franch.) Schneid.,29,Shrub or Subshrub
scarlet firethorn,Pyracantha coccinea M. Roemer,103,Shrub or Subshrub
Nepalese firethorn,Pyracantha crenulata (D. Don) Roem.,4,Shrub or Subshrub
formosa firethorn,Pyracantha koidzumii (Hayata) Rehder,18,Shrub or Subshrub
firethorn,Pyracantha L.,8,Shrub or Subshrub
birch-leaf pear,Pyrus betulifolia Bunge,0,Hardwood Trees
Callery pear (Bradford pear),Pyrus calleryana Decne.,1055,Hardwood Trees
common pear,Pyrus communis L.,555,Hardwood Trees
sawtooth oak,Quercus acutissima Carruthers,87,Hardwood Trees
English oak,Quercus robur L.,38,Hardwood Trees
Rangoon creeper,Quisqualis indica L.,5,Vines
tall buttercup,Ranunculus acris L.,714,Forbs/Herbs
showy buttercup,Ranunculus acris var. acris L.,0,Forbs/Herbs
corn buttercup,Ranunculus arvensis L.,4,Forbs/Herbs
bulbous buttercup,Ranunculus bulbosus L.,512,Forbs/Herbs
greater creeping spearwort,Ranunculus flammula var. filiformis (Michx.) Hook.,0,Forbs/Herbs
creeping buttercup,Ranunculus repens L.,616,Forbs/Herbs
hairy buttercup,Ranunculus sardous Crantz,28,Forbs/Herbs
wild radish,Raphanus raphanistrum L.,577,Forbs/Herbs
radish,Raphanus sativus L.,372,Forbs/Herbs
turnipweed,Rapistrum rugosum (L.) All.,81,Forbs/Herbs
white mignonette,Reseda alba L.,39,Forbs/Herbs
bridal broom,Retama monosperma (L.) Boiss.,3,Shrub or Subshrub
Japanese knotweed,Reynoutria japonica Sieb. & Zucc.,1248,Forbs/Herbs
giant knotweed,Reynoutria sachalinensis F. Schmidt ex Maxim.,320,Forbs/Herbs
"Bohemian knotweed, Hybrid Japanese knotweed",Reynoutria x bohemica Chrtek & Chrtková,210,Forbs/Herbs
Italian buckthorn,Rhamnus alaternus L.,0,
"common buckthorn, European buckthorn",Rhamnus cathartica L.,725,Shrub or Subshrub
frozen green buckthorn,Rhamnus utilis Dcne.,2,Shrub or Subshrub
Russian knapweed,Rhaponticum repens (L.) Hidalgo,553,Forbs/Herbs
red mangrove,Rhizophora mangle L.,38,Hardwood Trees
rose myrtle,Rhodomyrtus tomentosa (Ait.) Hassk.,20,Hardwood Trees
jetbead,Rhodotypos scandens (Thunb.) Makino,154,Shrub or Subshrub
smooth sumac,Rhus glabra L.,10,Hardwood Trees
staghorn sumac,Rhus typhina L.,10,Shrub or Subshrub
anglestem beaksedge,Rhynchospora caduca Ell.,263,Grass or Grasslike
cultivated currant,Ribes rubrum L.,272,Shrub or Subshrub
largeflower Mexican clover,Richardia grandiflora (Cham. & Schlecht.) J.A. & J.H. Schultes,28,Forbs/Herbs
castorbean,Ricinus communis L.,449,Shrub or Subshrub
bristly locust,Robinia hispida L.,666,Hardwood Trees
black locust,Robinia pseudoacacia L.,1903,Hardwood Trees
rosy sandcrocus,Romulea rosea var. australis (Ewart) de Vos,10,Forbs/Herbs
amphibious yellowcress,Rorippa amphibia (L.) Besser,7,Aquatic Plants
Austrian fieldcress,Rorippa austriaca (Crantz) Bess.,55,Forbs/Herbs
yellow fieldcress,Rorippa sylvestris (L.) Bess.,456,Aquatic Plants
Macartney rose,Rosa bracteata J.C. Wendl.,183,Shrub or Subshrub
dog rose,Rosa canina L.,249,Shrub or Subshrub
cinnamon rose,Rosa cinnamomea L.,78,Shrub or Subshrub
French rose,Rosa gallica L.,89,Shrub or Subshrub
Cherokee rose,Rosa laevigata Michx.,114,Shrub or Subshrub
memorial rose,Rosa lucieae Franch. & Rochebr. ex Crép.,169,Shrub or Subshrub
smallflower sweetbrier,Rosa micrantha Borrer ex Sm.,96,Shrub or Subshrub
multiflora rose,Rosa multiflora Thunb.,1615,Shrub or Subshrub
sweetbriar,Rosa rubiginosa L.,466,Shrub or Subshrub
